,City,Cloudiness,Humidity,Latitude,Longitude,Max_temp,Wind_speed
0,Ponta do Sol,24,90,-20.63,-46.0,292.686,1.42
1,Pundaguitan,68,100,6.37,126.17,299.986,3.17
2,Kodiak,1,15,39.95,-94.76,296.15,5.1
3,Mataura,0,64,-46.19,168.86,287.04,0.45
4,Busselton,8,100,-33.64,115.35,290.286,4.57
5,Faanui,88,97,-16.48,-151.75,302.886,7.22
6,Albany,40,47,42.65,-73.75,286.15,5.1
7,Komsomolskiy,80,88,67.55,63.78,269.036,8.52
8,Bredasdorp,0,82,-34.53,20.04,291.15,3.1
9,Meulaboh,44,100,4.14,96.13,298.536,3.37
10,Cockburn Town,92,98,21.46,-71.14,298.936,9.02
11,Bonthe,64,85,7.53,-12.5,300.686,2.07
12,Lovozero,80,89,68.01,35.02,272.036,1.32
13,Kaliua,68,97,-5.06,31.79,290.786,0.32
14,Goderich,0,79,43.74,-81.71,283.15,0.45
15,East London,32,100,-33.02,27.91,293.686,7.12
16,Havoysund,68,86,71.0,24.66,271.15,8.2
17,Sinegorye,44,86,62.09,150.53,268.586,1.22
18,Port Alfred,8,90,-33.59,26.89,289.26,0.45
19,Pointe-Noire,75,94,-4.8,11.85,300.15,2.6
20,Longyearbyen,20,57,78.22,15.63,265.15,8.7
21,Opuwo,0,69,-18.06,13.84,288.286,1.37
22,Petropavlovsk-Kamchatskiy,40,55,53.05,158.65,277.15,1.0
23,Sesheke,64,42,-17.47,24.29,297.086,2.82
24,Vila Franca do Campo,40,87,37.72,-25.43,289.15,9.3
25,Qaanaaq,80,87,77.48,-69.36,262.536,4.92
26,Ushuaia,90,86,-54.81,-68.31,276.15,2.1
27,Jamestown,0,47,-33.21,138.6,292.386,3.42
28,San Carlos de Bariloche,75,59,-41.13,-71.31,290.15,5.1
29,Pont-a-Mousson,100,87,48.91,6.06,282.04,0.5
30,Jijiga,20,60,9.35,42.8,287.886,1.72
31,Adrar,0,32,27.87,-0.29,293.15,3.6
32,Aswan,0,49,24.09,32.9,298.15,3.6
33,Tuktoyaktuk,40,77,69.44,-133.03,258.15,6.2
34,Mankono,0,85,8.06,-6.19,297.086,1.52
35,Avarua,48,65,-21.21,-159.78,300.15,5.7
36,Carnarvon,0,76,-30.97,22.13,281.886,2.97
37,Norman Wells,40,63,65.28,-126.83,271.15,6.2
38,Hobart,75,51,-42.88,147.33,290.93,7.7
39,Hami,80,54,42.84,93.51,284.586,0.77
40,Hilo,20,58,19.71,-155.08,301.15,6.2
41,Fort Nelson,90,74,58.81,-122.69,272.15,1.0
42,Yaan,44,84,7.38,8.57,299.186,5.02
43,Nome,90,94,30.04,-94.42,298.15,2.6
44,Tautira,40,66,-17.73,-149.15,305.15,2.6
45,Westport,32,87,53.8,-9.52,279.82,1.77
46,Punta Arenas,20,75,-53.16,-70.91,280.15,17.5
47,Mar del Plata,0,35,-46.43,-67.52,289.786,5.27
48,Sabang,44,88,13.72,123.58,300.036,1.62
49,Northam,20,87,51.04,-4.21,282.04,5.7
50,Codrington,0,78,-28.95,153.24,297.59,2.6
51,Tasiilaq,92,63,65.61,-37.64,271.15,15.9
52,Cabo San Lucas,5,60,22.89,-109.91,299.26,7.7
53,Butaritari,80,100,3.07,172.79,299.386,3.02
54,Cherskiy,0,72,68.75,161.3,264.286,1.07
55,Nemuro,0,91,43.32,145.57,275.036,3.02
